transaction_item_id,order_id,customer_id,restaurant_name,meal_name,category,rating,review_text,sentiment_label,delivery_time,food_preparation_time,cost_of_the_order,order_date
TI000091,ORD00037,C0071,Wrap World,Chicken Wrap,Main,4.0,Quick delivery and the food tasted fantastic!,positive,20.0,20.0,13.51,2024-01-23
TI000092,ORD00037,C0071,Wrap World,Fries,Side,4.0,Quick delivery and the food tasted fantastic!,,20.0,20.0,13.51,2024-01-23
TI000093,ORD00037,C0071,Wrap World,Lemonade,Drink,4.0,Quick delivery and the food tasted fantastic!,positive,20.0,20.0,13.51,2024-01-23
TI000094,ORD00038,C0110,Sushi Spot,Shrimp Tempura,Side,,"Wonderful experience, the food was restaurant-quality.",positive,20.0,13.0,25.12,2024-10-14
TI000095,ORD00038,C0110,Sushi Spot,Salmon Sushi,Main,5.0,"Wonderful experience, the food was restaurant-quality.",positive,20.0,13.0,25.12,2024-10-14
TI000096,ORD00038,C0110,Sushi Spot,Green Salad,Side,5.0,"Wonderful experience, the food was restaurant-quality.",positive,20.0,13.0,25.12,2024-10-14
TI000097,ORD00039,C0150,Sushi Spot,Tuna Roll,Main,4.0,"Wonderful experience, the food was restaurant-quality.",positive,29.0,23.0,35.21,2024-10-09
TI000098,ORD00039,C0150,Sushi Spot,Dragon Roll,Main,4.0,"Wonderful experience, the food was restaurant-quality.",positive,29.0,23.0,35.21,2024-10-09
TI000099,ORD00039,C0150,Sushi Spot,Edamame,Side,4.0,"Wonderful experience, the food was restaurant-quality.",positive,29.0,23.0,35.21,2024-10-09
TI000100,ORD00039,C0150,Sushi Spot,Shrimp Tempura,Side,4.0,"Wonderful experience, the food was restaurant-quality.",positive,29.0,23.0,35.21,2024-10-09
TI000101,ORD00040,C0064,Burger Barn,Veggie Burger,Main,5.0,"Loved every bite, the quality is consistently excellent.",,,21.0,13.03,2024-12-07
TI000102,ORD00040,C0064,Burger Barn,Onion Rings,Side,5.0,"Loved every bite, the quality is consistently excellent.",positive,26.0,21.0,13.03,2024-12-07
TI000103,ORD00040,C0064,Burger Barn,Coke,Drink,5.0,"Loved every bite, the quality is consistently excellent.",positive,26.0,21.0,13.03,2024-12-07
TI000104,ORD00041,C0046,Sushi Spot,Tuna Roll,Main,4.0,"Wonderful experience, the food was restaurant-quality.",positive,21.0,15.0,17.94,2024-07-30
TI000105,ORD00041,C0046,Sushi Spot,Edamame,Side,4.0,,positive,21.0,15.0,17.94,2024-07-30
TI000106,ORD00041,C0046,Sushi Spot,Miso Soup,Side,,"Wonderful experience, the food was restaurant-quality.",positive,21.0,15.0,17.94,2024-07-30
TI000107,ORD00042,C0028,Noodle Nest,Pad Thai,Main,3.0,"Arrived on time, food was mediocre.",neutral,75.0,11.0,17.7,2024-07-14
TI000108,ORD00042,C0028,Noodle Nest,Dumpling,Side,3.0,"Arrived on time, food was mediocre.",,75.0,11.0,17.7,2024-07-14
TI000109,ORD00043,C0059,Taco Town,Fish Taco,Main,,Highly satisfied with the taste and delivery speed.,positive,21.0,31.0,10.37,2024-04-24
TI000110,ORD00043,C0059,Taco Town,Nachos,Side,4.0,,positive,21.0,31.0,10.37,2024-04-24
TI000111,ORD00044,C0131,Pizza Palace,BBQ Chicken Pizza,Main,1.0,"Disappointing quality, not worth the price at all.",negative,63.0,27.0,16.64,2024-07-23
TI000112,ORD00044,C0131,Pizza Palace,Caesar Salad,Side,1.0,,negative,63.0,27.0,16.64,2024-07-23
TI000113,ORD00045,C0068,Sushi Spot,Tuna Roll,Main,5.0,Great portion size and incredibly tasty.,positive,26.0,29.0,26.84,2024-01-20
TI000114,ORD00045,C0068,Sushi Spot,Dragon Roll,Main,5.0,Great portion size and incredibly tasty.,positive,26.0,29.0,26.84,2024-01-20
TI000115,ORD00045,C0068,Sushi Spot,Edamame,Side,5.0,Great portion size and incredibly tasty.,positive,26.0,29.0,26.84,2024-01-20
TI000116,ORD00046,C0030,Noodle Nest,Pad Thai,Main,5.0,Absolutely delicious! Will definitely order again.,positive,56.0,,15.99,2024-07-16
TI000117,ORD00046,C0030,Noodle Nest,Spring Rolls,Side,5.0,Absolutely delicious! Will definitely order again.,,56.0,16.0,15.99,2024-07-16
TI000118,ORD00047,C0085,Pasta Point,Fettuccine Alfredo,Main,,Quick delivery and the food tasted fantastic!,positive,40.0,31.0,16.17,2024-11-15
TI000119,ORD00047,C0085,Pasta Point,Garlic Bread,Side,5.0,,positive,40.0,31.0,16.17,2024-11-15
TI000120,ORD00047,C0085,Pasta Point,Coke,Drink,5.0,,positive,40.0,31.0,16.17,2024-11-15
TI000121,ORD00048,C0076,Wrap World,Chicken Wrap,Main,5.0,"Fresh ingredients and great presentation, loved it.",positive,28.0,16.0,12.81,2024-10-10
TI000122,ORD00048,C0076,Wrap World,Coleslaw,Side,5.0,"Fresh ingredients and great presentation, loved it.",positive,28.0,16.0,12.81,2024-10-10
TI000123,ORD00048,C0076,Wrap World,Lemonade,Drink,5.0,"Fresh ingredients and great presentation, loved it.",positive,28.0,16.0,12.81,2024-10-10
TI000124,ORD00049,C0104,Sushi Spot,Tuna Roll,Main,3.0,"Not bad, not great, just an ordinary meal.",neutral,73.0,10.0,26.58,2024-10-07
TI000125,ORD00049,C0104,Sushi Spot,Dragon Roll,Main,3.0,"Not bad, not great, just an ordinary meal.",neutral,73.0,10.0,26.58,2024-10-07
TI000126,ORD00049,C0104,Sushi Spot,Edamame,Side,3.0,"Not bad, not great, just an ordinary meal.",neutral,73.0,10.0,26.58,2024-10-07
TI000127,ORD00050,C0055,Taco Town,Beef Taco,Main,5.0,"The food arrived hot and fresh, exceeded my expectations.",positive,50.0,35.0,12.77,2024-09-18
TI000128,ORD00050,C0055,Taco Town,Chicken Taco,Main,5.0,"The food arrived hot and fresh, exceeded my expectations.",positive,50.0,35.0,12.77,2024-09-18
TI000129,ORD00050,C0055,Taco Town,Guacamole,Side,5.0,"The food arrived hot and fresh, exceeded my expectations.",positive,50.0,35.0,12.77,2024-09-18
TI000130,ORD00051,C0086,Pizza Palace,BBQ Chicken Pizza,Main,4.0,So good I ordered again the next day!,positive,72.0,34.0,16.45,2024-02-17
TI000131,ORD00051,C0086,Pizza Palace,Caesar Salad,Side,4.0,So good I ordered again the next day!,positive,72.0,34.0,16.45,2024-02-17
TI000132,ORD00052,C0122,Pasta Point,Penne Arrabiata,Main,4.0,"Fresh ingredients and great presentation, loved it.",positive,74.0,34.0,14.13,2024-11-08
TI000133,ORD00052,C0122,Pasta Point,Tiramisu,Dessert,4.0,"Fresh ingredients and great presentation, loved it.",positive,74.0,34.0,14.13,2024-11-08
TI000134,ORD00053,C0063,Pasta Point,Spaghetti Carbonara,Main,5.0,So good I ordered again the next day!,positive,61.0,32.0,14.99,2024-03-16
TI000135,ORD00053,C0063,Pasta Point,Caesar Salad,Side,5.0,So good I ordered again the next day!,positive,61.0,32.0,14.99,2024-03-16
TI000136,ORD00054,C0133,Pizza Palace,Margherita Pizza,Main,5.0,"Outstanding food, the whole family enjoyed it.",positive,23.0,27.0,13.97,2024-08-25
TI000137,ORD00054,C0133,Pizza Palace,Garlic Bread,Side,5.0,"Outstanding food, the whole family enjoyed it.",positive,23.0,27.0,13.97,2024-08-25
TI000138,ORD00054,C0133,Pizza Palace,Pepsi,Drink,5.0,"Outstanding food, the whole family enjoyed it.",positive,23.0,27.0,13.97,2024-08-25
TI000139,ORD00055,C0144,Sushi Spot,Shrimp Tempura,Side,4.0,Superb quality! The meal was warm and delicious.,positive,,34.0,26.75,2024-10-31
TI000140,ORD00055,C0144,Sushi Spot,Salmon Sushi,Main,4.0,Superb quality! The meal was warm and delicious.,,40.0,34.0,26.75,2024-10-31
TI000141,ORD00055,C0144,Sushi Spot,Green Salad,Side,4.0,Superb quality! The meal was warm and delicious.,positive,40.0,34.0,26.75,2024-10-31
TI000142,ORD00056,C0041,Noodle Nest,Pad Thai,Main,5.0,Quick delivery and the food tasted fantastic!,positive,48.0,,16.98,2024-08-31
TI000143,ORD00056,C0041,Noodle Nest,Spring Rolls,Side,5.0,,,48.0,18.0,16.98,2024-08-31
TI000144,ORD00057,C0020,Salad Station,Caesar Salad,Side,4.0,,positive,38.0,17.0,12.52,2024-12-31
TI000145,ORD00057,C0020,Salad Station,Avocado Toast,Main,4.0,Perfect meal for a cozy evening at home.,positive,38.0,17.0,12.52,2024-12-31
TI000146,ORD00058,C0040,Pizza Palace,Pepperoni Pizza,Main,4.0,"Outstanding food, the whole family enjoyed it.",positive,33.0,12.0,15.3,2024-12-27
TI000147,ORD00058,C0040,Pizza Palace,Pepsi,Drink,4.0,"Outstanding food, the whole family enjoyed it.",positive,33.0,12.0,15.3,2024-12-27
TI000148,ORD00058,C0040,Pizza Palace,Garlic Bread,Side,4.0,"Outstanding food, the whole family enjoyed it.",positive,33.0,12.0,15.3,2024-12-27
TI000149,ORD00059,C0108,Noodle Nest,Ramen,Main,1.0,"The worst delivery experience, food was inedible.",negative,69.0,28.0,20.36,2024-07-18
TI000150,ORD00059,C0108,Noodle Nest,Spring Rolls,Side,,"The worst delivery experience, food was inedible.",negative,69.0,28.0,20.36,2024-07-18
TI000151,ORD00059,C0108,Noodle Nest,Jasmine Tea,Drink,1.0,"The worst delivery experience, food was inedible.",negative,69.0,28.0,20.36,2024-07-18
TI000152,ORD00060,C0077,Noodle Nest,Ramen,Main,5.0,So good I ordered again the next day!,positive,74.0,23.0,29.54,2024-07-18
TI000153,ORD00060,C0077,Noodle Nest,Dumpling,Side,5.0,So good I ordered again the next day!,positive,74.0,23.0,29.54,2024-07-18
TI000154,ORD00060,C0077,Noodle Nest,Jasmine Tea,Drink,5.0,So good I ordered again the next day!,positive,74.0,23.0,29.54,2024-07-18
TI000155,ORD00060,C0077,Noodle Nest,Udon,Main,5.0,So good I ordered again the next day!,,74.0,23.0,29.54,2024-07-18
TI000156,ORD00061,C0112,Pasta Point,Spaghetti Carbonara,Main,5.0,"Loved every bite, the quality is consistently excellent.",positive,21.0,22.0,15.65,2024-09-05
TI000157,ORD00061,C0112,Pasta Point,Caesar Salad,Side,5.0,"Loved every bite, the quality is consistently excellent.",positive,21.0,22.0,15.65,2024-09-05
TI000158,ORD00062,C0137,Sushi Spot,Shrimp Tempura,Side,1.0,Terrible! Food smelled off and delivery was over an hour late.,negative,45.0,28.0,26.1,2024-01-14
TI000159,ORD00062,C0137,Sushi Spot,Salmon Sushi,Main,1.0,Terrible! Food smelled off and delivery was over an hour late.,negative,45.0,28.0,26.1,2024-01-14
TI000160,ORD00062,C0137,Sushi Spot,Green Salad,Side,1.0,Terrible! Food smelled off and delivery was over an hour late.,negative,45.0,28.0,26.1,2024-01-14
TI000161,ORD00063,C0047,Noodle Nest,Pad Thai,Main,4.0,Great portion size and incredibly tasty.,positive,36.0,22.0,16.63,2024-01-26
TI000162,ORD00063,C0047,Noodle Nest,Dumpling,Side,4.0,Great portion size and incredibly tasty.,positive,,22.0,16.63,2024-01-26
TI000163,ORD00064,C0108,Noodle Nest,Udon,Main,5.0,Absolutely delicious! Will definitely order again.,positive,73.0,12.0,17.91,2024-05-09
TI000164,ORD00064,C0108,Noodle Nest,Spring Rolls,Side,5.0,Absolutely delicious! Will definitely order again.,,73.0,12.0,17.91,2024-05-09
TI000165,ORD00064,C0108,Noodle Nest,Jasmine Tea,Drink,5.0,Absolutely delicious! Will definitely order again.,positive,73.0,12.0,17.91,2024-05-09
TI000166,ORD00065,C0011,Taco Town,Chicken Taco,Main,4.0,"Amazing flavors, perfectly seasoned. Five stars!",positive,35.0,16.0,11.15,2024-01-16
TI000167,ORD00065,C0011,Taco Town,Guacamole,Side,4.0,"Amazing flavors, perfectly seasoned. Five stars!",positive,35.0,16.0,11.15,2024-01-16
TI000168,ORD00065,C0011,Taco Town,Horchata,Drink,4.0,"Amazing flavors, perfectly seasoned. Five stars!",positive,35.0,16.0,11.15,2024-01-16
TI000169,ORD00066,C0145,Sushi Spot,Shrimp Tempura,Side,4.0,"Excellent taste and fast delivery, very satisfied!",positive,49.0,32.0,25.48,2024-04-21
TI000170,ORD00066,C0145,Sushi Spot,Salmon Sushi,Main,4.0,"Excellent taste and fast delivery, very satisfied!",positive,49.0,,25.48,2024-04-21
TI000171,ORD00066,C0145,Sushi Spot,Green Salad,Side,4.0,"Excellent taste and fast delivery, very satisfied!",positive,49.0,,25.48,2024-04-21
TI000172,ORD00067,C0028,Pizza Palace,Pepperoni Pizza,Main,5.0,"Loved every bite, the quality is consistently excellent.",positive,,19.0,15.62,2024-10-23
TI000173,ORD00067,C0028,Pizza Palace,Pepsi,Drink,5.0,"Loved every bite, the quality is consistently excellent.",,,19.0,15.62,2024-10-23
TI000174,ORD00067,C0028,Pizza Palace,Garlic Bread,Side,5.0,,positive,21.0,19.0,15.62,2024-10-23
TI000175,ORD00068,C0063,Noodle Nest,Pad Thai,Main,5.0,So good I ordered again the next day!,positive,64.0,34.0,18.57,2024-02-22
TI000176,ORD00068,C0063,Noodle Nest,Dumpling,Side,5.0,So good I ordered again the next day!,positive,64.0,34.0,18.57,2024-02-22
TI000177,ORD00068,C0063,Noodle Nest,Jasmine Tea,Drink,5.0,So good I ordered again the next day!,,64.0,34.0,18.57,2024-02-22
TI000178,ORD00069,C0089,Pizza Palace,Pepperoni Pizza,Main,4.0,Great portion size and incredibly tasty.,positive,47.0,31.0,17.71,2024-09-29
TI000179,ORD00069,C0089,Pizza Palace,Caesar Salad,Side,4.0,Great portion size and incredibly tasty.,positive,47.0,,17.71,2024-09-29
TI000180,ORD00069,C0089,Pizza Palace,Pepsi,Drink,4.0,Great portion size and incredibly tasty.,positive,47.0,31.0,17.71,2024-09-29
TI000181,ORD00070,C0028,Burger Barn,Chicken Strips,Side,4.0,"The food arrived hot and fresh, exceeded my expectations.",positive,43.0,30.0,11.25,2024-08-09
TI000182,ORD00070,C0028,Burger Barn,Fries,Side,4.0,"The food arrived hot and fresh, exceeded my expectations.",positive,,30.0,11.25,2024-08-09
